stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
EI280,1504,"INNES / AD. 3386",,45.444803,-75.531428,,,0
EI290,2646,"INNES / DU CLAIRVAUX PATHWAY",,45.442162,-75.538873,,,0
EI295,1089,"INNES / DU CLAIRVAUX PATHWAY",,45.442326,-75.537555,,,0
EI300,1503,"INNES / INNES BYPASS",,45.440057,-75.543832,,,0
EI305,1735,"INNES / INNES BYPASS",,45.440053,-75.543308,,,0
EI310,2647,"INNES / CLÉROUX",,45.438823,-75.546907,,,0
EI320,2649,"INNES / CLÉROUX",,45.438873,-75.546382,,,0
EI330,2648,"INNES / KEYSTONE",,45.438082,-75.548709,,,0
EI340,2650,"INNES / KEYSTONE",,45.438053,-75.54839,,,0
EI351,1521,"INNES / CLÉROUX",,45.43714,-75.551166,,,0
EI360,8198,"INNES / CLÉROUX",,45.436527,-75.552161,,,0
EI390,2439,"ORLÉANS / PINEGLADE",,45.442762,-75.530556,,,0
EI395,2445,"ORLÉANS / CRESTMONT",,45.442859,-75.530311,,,0
EI400,2651,"ORLÉANS / INNES",,45.443733,-75.532571,,,0
EI405,2453,"ORLÉANS / INNES",,45.444119,-75.532475,,,0
EI455,1397,"NAVAN / AD. 2878",,45.433272,-75.527753,,,0
EI465,1396,"NAVAN / AD. 2878",,45.433128,-75.527743,,,0
EI470,2653,"NAVAN / TOPSOIL",,45.431396,-75.522034,,,0
EI480,2655,"NAVAN / TOPSOIL",,45.431195,-75.52168,,,0
EI611,1738,"MEADOWGLEN / ORLÉANS",,45.44692,-75.534869,,,0
EI612,7733,"MEADOWGLEN / WINDFLOWER",,45.446575,-75.535591,,,0
EI613,7732,"MEADOWGLEN / DU CLAIRVAUX",,45.445438,-75.539522,,,0
EI615,7715,"MEADOWGLEN / WINDFLOWER",,45.446385,-75.536579,,,0
EI616,7861,"MEADOWGLEN / MONTEREAU",,45.445456,-75.540532,,,0
EI618,7731,"MEADOWGLEN / WILLOWBARK",,45.447716,-75.542807,,,0
EI619,7717,"MEADOWGLEN / WILLOWBARK",,45.447443,-75.542454,,,0
EI620,7718,"MEADOWGLEN / MEADOWFIELD",,45.449645,-75.543209,,,0
EI630,7730,"MEADOWGLEN / MEADOWHILL",,45.45051,-75.543438,,,0
EI640,7719,"MEADOWGLEN / FOREST VALLEY",,45.452476,-75.540732,,,0
EI650,7864,"FORESTVALLEY / MEADOWGLEN",,45.452946,-75.540878,,,0
EI660,7729,"FOREST VALLEY / RIDGELEA",,45.454592,-75.541873,,,0
EI670,823,"FOREST VALLEY / RIDGELEA",,45.454572,-75.541668,,,0
EI680,7728,"FORESTVALLEY / FORESTGLEN",,45.457184,-75.541969,,,0
EI690,7720,"FORESTVALLEY / RIVERMILL",,45.457588,-75.541809,,,0
EI700,866,"FORESTVALLEY / AD. 1402",,45.458358,-75.545747,,,0
EI710,7721,"FOREST VALLEY  / AD. 1401",,45.458477,-75.545899,,,0
EI720,1736,"YOUVILLE / ST JOSEPH",,45.461989,-75.549497,,,0
EI730,1737,"YOUVILLE / ST JOSEPH",,45.461771,-75.549206,,,0
EI740,7726,"YOUVILLE / AD. 1420",,45.463734,-75.550439,,,0
EI750,7722,"YOUVILLE / AD. 1420",,45.463858,-75.550284,,,0
EI760,7725,"YOUVILLE / AD. 1490",,45.465107,-75.548948,,,0
EI770,7723,"YOUVILLE / VOYAGEUR",,45.464974,-75.54887,,,0
EI780,7863,"YOUVILLE / JEANNE D'ARC",,45.465779,-75.543179,,,0
EI790,7724,"YOUVILLE / JEANNE D'ARC",,45.465661,-75.543079,,,0
EI801,3617,"ORLÉANS / NAVAN",,45.433822,-75.531105,,,0
EI803,3307,"ORLÉANS / DES GRAND CHAMPS",,45.434612,-75.530836,,,0
EI806,3306,"ORLÉANS / DES GRAND CHAMPS",,45.435794,-75.529128,,,0
EI807,3618,"ORLEANS / BLUE WILLOW",,45.435302,-75.52952,,,0
EI809,3619,"ORLEANS / BLUE WILLOW",,45.436431,-75.527788,,,0
EI811,3305,"ORLÉANS / LONGLEAF",,45.437548,-75.526951,,,0
EI815,6325,"LONGLEAF / ORLÉANS",,45.437732,-75.527357,,,0
EI820,6326,"LONGLEAF / VALLEYWOOD",,45.438638,-75.530192,,,0
EI830,6332,"LONGLEAF / APPLE LEAF",,45.438503,-75.530232,,,0
EI835,6327,"LONGLEAF / SHAKEWOOD",,45.439957,-75.53091,,,0
EI840,6331,"LONGLEAF / MONTCLAIR",,45.440321,-75.531326,,,0
EI845,6328,"LONGLEAF / GLADEWOODS",,45.441398,-75.530962,,,0
EI850,6330,"LONGLEAF / GLADEWOODS",,45.441319,-75.531207,,,0
EI855,6329,"LONGLEAF / PINEGLADE",,45.441983,-75.529955,,,0
EJ030,1765,"PLACE D'ORLÉANS / ROCQUE",,45.476603,-75.519705,,,0
EJ040,7800,"PLACE D'ORLÉANS / ROCQUE",,45.476836,-75.519637,,,0
EJ045,7799,"PLACE D'ORLÉANS / ST JOSEPH",,45.475238,-75.517963,,,0
EJ070,8114,"ST JOSEPH / GABRIEL",,45.474629,-75.518306,,,0
EJ090,1768,"ST JOSEPH / EDGAR BRAULT",,45.473803,-75.519536,,,0
EJ100,1766,"ST JOSEPH / ST PIERRE",,45.473274,-75.520849,,,0
EJ110,8540,"ST JOSEPH / BELCOURT",,45.472144,-75.522365,,,0
EJ120,8543,"ST JOSEPH / BELCOURT",,45.47175,-75.523587,,,0
EJ130,7801,"ST JOSEPH / ST JEAN",,45.470752,-75.525766,,,0
EJ140,7798,"ST JOSEPH / ST JEAN",,45.470315,-75.526208,,,0
EJ150,1767,"ST JOSEPH / DUSSERE",,45.469838,-75.527303,,,0
EJ160,7802,"ST JOSEPH / DUSSERE",,45.469913,-75.527622,,,0
EJ170,7803,"ST JOSEPH / COUSINEAU",,45.469241,-75.529027,,,0
EJ180,5740,"ST JOSEPH / ORLÉANS",,45.46868,-75.529766,,,0
EJ190,1770,"ST JOSEPH / ORLÉANS",,45.468491,-75.53078,,,0
EJ200,7795,"ST JOSEPH / BOYER",,45.467374,-75.532781,,,0
EJ210,8909,"ST JOSEPH / BOYER",,45.467122,-75.533821,,,0
EJ220,5833,"ST JOSEPH / GREY NUNS",,45.466031,-75.535758,,,0
EJ230,8116,"ST JOSEPH / GREY NUNS",,45.465743,-75.536812,,,0
EJ240,7794,"ST JOSEPH / NOTRE DAME",,45.465055,-75.538422,,,0
EJ250,8101,"ST JOSEPH / NOTRE DAME",,45.465015,-75.537988,,,0
EJ260,2477,"MEADOWGLEN / BOYER",,45.452117,-75.524872,,,0
EJ265,7753,"MEADOWGLEN / BOYER",,45.452176,-75.524385,,,0
EJ270,7754,"MEADOWGLEN / TEAKDALE",,45.451434,-75.52606,,,0
EJ275,7752,"MEADOWGLEN / ROBINWOOD",,45.451039,-75.526118,,,0
EJ280,7755,"MEADOWGLEN / ASPENVIEW",,45.449773,-75.527482,,,0
EJ284,1401,"MEADOWGLEN / PAGÉ",,45.449098,-75.529603,,,0
EJ285,7751,"MEADOWGLEN / THORNCREST",,45.449364,-75.528052,,,0
EJ286,1399,"MEADOWGLEN / LORANGER",,45.449102,-75.528977,,,0
EJ287,7750,"MEADOWGLEN / SABLEWOOD",,45.447971,-75.531527,,,0
EJ290,7756,"MEADOWGLEN / SUMMERFIELDS #2",,45.447391,-75.53311,,,0
EJ292,6609,"MEADOWGLEN / SUMMERFIELDS # 1",,45.448357,-75.531367,,,0
EJ295,2479,"MEADOWGLEN / ORLÉANS",,45.447002,-75.533947,,,0
EJ461,1194,"INNES / PAGÉ",,45.44659,-75.527767,,,0
EJ470,8129,"3636 INNES",,45.448577,-75.522363,,,0
EJ481,1219,"INNES / BOYER PATHWAY",,45.448695,-75.5224,,,0
EJ490,7764,"INNES / VISENEAU",,45.451249,-75.51595,,,0
EJ500,8955,"INNES / VISENEAU",,45.451369,-75.515309,,,0
EJ503,589,"INNES / FRANK BENDER",,45.453203,-75.510905,,,0
EJ505,1751,"INNES / FRANK BENDER",,45.453004,-75.511854,,,0
EJ510,7763,"INNES / AD. 3927",,45.454744,-75.507004,,,0
EJ515,864,"INNES / AD. 3927",,45.454659,-75.507568,,,0
EJ630,8141,"BELCOURT / CARRIÈRE",,45.467312,-75.519175,,,0
EJ640,7776,"BELCOURT / CARRIÈRE",,45.467594,-75.519567,,,0
EJ650,7775,"BELCOURT / LEBLANC",,45.46838,-75.519962,,,0
EJ660,7772,"BELCOURT / BARSONA",,45.468985,-75.520105,,,0
EJ670,7774,"BELCOURT / NOTRE DAME",,45.470788,-75.521634,,,0
EJ680,7773,"BELCOURT / NOTRE DAME",,45.470505,-75.521102,,,0
EJ690,8133,"BELCOURT / ST JOSEPH",,45.471542,-75.522452,,,0
EJ695,7797,"ORLÉANS / LUMBERMAN",,45.470915,-75.532298,,,0
EJ700,1753,"ORLÉANS / LUMBERMAN",,45.471134,-75.532678,,,0
EJ705,1752,"ORLÉANS / ST JOSEPH",,45.469,-75.5304,,,0
EJ710,7796,"ORLÉANS / ST JOSEPH",,45.469239,-75.530933,,,0
EJ712,1233,"ORLÉANS / ST JOSEPH",,45.46806,-75.529917,,,0
EJ715,7742,"ORLÉANS / NOTRE DAME",,45.46794,-75.52951,,,0
EJ720,1755,"ORLÉANS / NOTRE DAME",,45.467309,-75.529419,,,0
EJ722,7741,"ORLÉANS / CARRIÈRE",,45.46511,-75.527896,,,0
EJ723,542,"CARRIÈRE / É.S. GARNEAU",,45.465859,-75.526106,,,0
EJ724,3655,"CARRIÈRE  / ORLÉANS",,45.465651,-75.52703,,,0
EJ725,7740,"ORLÉANS / JEANNE D'ARC",,45.462606,-75.526533,,,0
EJ728,7743,"ORLÉANS / CARRIÈRE",,45.464941,-75.528104,,,0
EJ729,6311,"ORLÉANS / BOYER",,45.454954,-75.527265,,,0
EJ730,7744,"ORLÉANS / JEANNE D'ARC",,45.461415,-75.526234,,,0
EJ731,6312,"ORLÉANS / BOYER",,45.455598,-75.525771,,,0
EJ733,7745,"ORLÉANS / BEAUSEJOUR",,45.458543,-75.524953,,,0
EJ734,7746,"ORLÉANS / GLOUCESTER LIBRARY",,45.456633,-75.524679,,,0
EJ735,7739,"ORLÉANS / BEAUSÉJOUR",,45.459064,-75.524919,,,0
EJ736,7738,"ORLÉANS / GLOUCESTER LIBRARY",,45.456567,-75.524412,,,0
EJ737,1754,"ORLÉANS / BOYER",,45.455417,-75.525659,,,0
EJ738,7737,"ORLÉANS / BOYER",,45.454659,-75.527462,,,0
EJ739,4076,"ORLÉANS / BEAUSÉJOUR",,45.453597,-75.531725,,,0
EJ740,5847,"ORLÉANS / MAPLE RUN",,45.453722,-75.53056,,,0
EJ741,7748,"ORLÉANS / OAK MEADOWS",,45.451785,-75.534531,,,0
EJ742,7736,"ORLÉANS / OAK MEADOWS",,45.451783,-75.534249,,,0
EJ743,326,"ORLÉANS / FOREST VALLEY",,45.449613,-75.535207,,,0
EJ744,7749,"ORLÉANS / FOREST VALLEY",,45.449642,-75.535424,,,0
EJ745,2456,"ORLÉANS / MEADOWGLEN",,45.447293,-75.534313,,,0
EJ747,2452,"ORLÉANS / INNES",,45.444788,-75.53286,,,0
EJ748,1757,"VISENEAU / SIMARD",,45.453737,-75.522735,,,0
EJ749,7759,"VISENEAU / VIGNEAULT",,45.453684,-75.522902,,,0
EJ750,1756,"VISENEAU / BARRINGTON",,45.455355,-75.519459,,,0
EJ751,6616,"ORLÉANS / MEADOWGLEN",,45.446472,-75.534071,,,0
EJ755,7757,"VISENEAU / DUCLOS",,45.455446,-75.518524,,,0
EJ760,7758,"VISENEAU / BROMONT",,45.454763,-75.516541,,,0
EJ765,1809,"VISENEAU / D'AMOUR",,45.453924,-75.516236,,,0
